# 5
S.sname,S.age,S.sid,R.sid,B.bcolor
C,60,8901,8901,blue
A,59,4706,4706,blue
H,37,1277,1277,blue
P,30,7044,7044,blue
Q,55,1266,1266,blue
U,59,7208,7208,blue
U,59,5944,5944,blue
D,40,8505,8505,blue
S,58,5878,5878,blue
N,26,1425,1425,blue
L,27,6952,6952,blue
V,46,9262,9262,blue
E,54,380,380,blue
N,30,1176,1176,blue
E,66,7490,7490,blue
X,37,6708,6708,blue
C,37,4253,4253,blue
P,33,3307,3307,blue
X,37,8578,8578,blue
H,65,460,460,blue
T,62,898,898,blue
Q,43,5101,5101,blue
K,65,2884,2884,blue
B,48,6068,6068,blue
Z,61,612,612,blue
Z,61,740,740,blue
B,30,7025,7025,blue
K,22,4882,4882,blue
T,51,3365,3365,blue
Y,54,9169,9169,blue
D,37,3883,3883,blue
P,24,7730,7730,blue
U,25,4390,4390,blue
F,29,5823,5823,blue
X,43,7577,7577,blue
Q,32,581,581,blue
T,64,1698,1698,blue
S,47,6190,6190,blue
B,20,8544,8544,blue
J,53,673,673,blue
F,22,3896,3896,blue
R,52,3036,3036,blue
M,31,337,337,blue
J,33,7505,7505,blue
B,63,5380,5380,blue
W,61,7811,7811,blue
H,20,5334,5334,blue
N,31,9204,9204,blue
L,60,894,894,blue
O,64,7342,7342,blue
O,64,3516,3516,blue
V,31,9518,9518,blue
R,34,3153,3153,blue
L,55,5897,5897,blue
O,40,8744,8744,blue
M,52,2855,2855,blue
E,28,6083,6083,blue
Q,42,3326,3326,blue
E,41,39,39,blue
P,61,6803,6803,blue
V,58,9873,9873,blue
R,25,2072,2072,blue
X,52,1716,1716,blue
T,50,6338,6338,blue
L,24,1560,1560,blue
T,28,5655,5655,blue
M,64,4455,4455,blue
A,42,982,982,blue
D,42,9010,9010,blue
Z,53,8404,8404,blue
L,29,2525,2525,blue
B,60,9679,9679,blue
N,28,1816,1816,blue
A,55,4293,4293,blue
U,66,6274,6274,blue
T,59,1219,1219,blue
U,53,1435,1435,blue
K,64,6897,6897,blue
C,35,2583,2583,blue
X,35,9454,9454,blue
B,44,2152,2152,blue
W,55,7620,7620,blue
Q,28,3408,3408,blue
B,40,8583,8583,blue
R,24,6166,6166,blue
Y,30,164,164,blue
V,66,5157,5157,blue
S,54,2021,2021,blue
Y,52,8398,8398,blue
T,27,9259,9259,blue
P,52,3204,3204,blue
T,69,7407,7407,blue
R,51,6489,6489,blue
H,63,3810,3810,blue
X,55,2371,2371,blue
T,43,3038,3038,blue
O,36,8082,8082,blue
D,57,9182,9182,blue
M,39,2618,2618,blue
R,67,6027,6027,blue
X,40,832,832,blue
K,66,823,823,blue
M,29,4106,4106,blue
W,68,8359,8359,blue
W,53,9667,9667,blue
L,57,1849,1849,blue
O,52,9581,9581,blue
W,49,6542,6542,blue
J,35,4415,4415,blue
O,69,2811,2811,blue
F,42,185,185,blue
I,60,202,202,blue
I,37,1529,1529,blue
E,27,7367,7367,blue
F,35,9561,9561,blue
F,39,1780,1780,blue
I,51,1955,1955,blue
O,21,9956,9956,blue
U,24,1257,1257,blue
J,61,8999,8999,blue
Y,69,5024,5024,blue
S,67,3590,3590,blue
J,50,3292,3292,blue
Z,52,227,227,blue
Z,52,4061,4061,blue
J,46,3784,3784,blue
I,67,5300,5300,blue
D,50,5185,5185,blue
S,55,1072,1072,blue
D,39,9379,9379,blue
X,60,6235,6235,blue
G,60,8450,8450,blue
E,59,7822,7822,blue
J,34,7593,7593,blue
Q,45,1453,1453,blue
J,51,9936,9936,blue
B,62,1728,1728,blue
S,20,6195,6195,blue
A,66,1064,1064,blue
H,65,7369,7369,blue
S,29,4095,4095,blue
H,22,1726,1726,blue
L,34,1749,1749,blue
H,29,9991,9991,blue
K,26,8618,8618,blue
K,26,7070,7070,blue
A,30,590,590,blue
C,63,641,641,blue
B,43,810,810,blue
D,64,9106,9106,blue
U,32,1459,1459,blue
V,56,134,134,blue
X,58,4388,4388,blue
K,42,7712,7712,blue
U,25,6045,6045,blue
S,61,3717,3717,blue
H,43,8546,8546,blue
Q,45,4626,4626,blue
F,67,1604,1604,blue
T,68,5652,5652,blue
X,32,7795,7795,blue
S,43,360,360,blue
C,32,9770,9770,blue
D,21,4595,4595,blue
V,26,5249,5249,blue
F,34,5771,5771,blue
T,33,8534,8534,blue
P,22,82,82,blue
J,22,4175,4175,blue
F,63,6013,6013,blue
S,64,6563,6563,blue
G,21,8316,8316,blue
O,64,9805,9805,blue
D,31,869,869,blue
Q,21,8599,8599,blue
V,53,6413,6413,blue
I,63,1017,1017,blue
O,44,1594,1594,blue
O,29,4859,4859,blue
G,31,9167,9167,blue
W,36,6559,6559,blue
R,29,9930,9930,blue
K,32,4142,4142,blue
X,48,4658,4658,blue
Z,60,6562,6562,blue
Q,35,8053,8053,blue
A,42,5643,5643,blue
R,36,9353,9353,blue
O,55,3581,3581,blue
N,54,5566,5566,blue
E,35,4370,4370,blue
E,35,8562,8562,blue
F,43,3483,3483,blue
E,60,6382,6382,blue
F,43,5703,5703,blue
N,28,3409,3409,blue
S,44,2542,2542,blue
N,38,8633,8633,blue
Y,46,7136,7136,blue
U,40,9554,9554,blue
W,55,5959,5959,blue
D,67,9604,9604,blue
F,52,7037,7037,blue
F,52,8189,8189,blue
B,39,8416,8416,blue
X,23,1778,1778,blue
D,54,6140,6140,blue
A,67,8980,8980,blue
I,34,9048,9048,blue
A,67,9962,9962,blue
Q,66,3558,3558,blue
Y,48,1512,1512,blue
F,37,8296,8296,blue
B,28,1774,1774,blue
W,30,2667,2667,blue
H,36,7734,7734,blue
N,60,8101,8101,blue
W,26,4932,4932,blue
K,34,9702,9702,blue
S,57,5171,5171,blue
P,52,5611,5611,blue
G,22,1296,1296,blue
Q,22,7930,7930,blue
B,21,8338,8338,blue
D,48,3926,3926,blue
Z,43,8817,8817,blue
H,42,212,212,blue
Y,58,4043,4043,blue
R,60,8716,8716,blue
Y,62,9616,9616,blue
L,42,9171,9171,blue
T,25,654,654,blue
S,39,554,554,blue
N,33,3487,3487,blue
H,68,8402,8402,blue
P,46,4748,4748,blue
P,46,3890,3890,blue
E,53,5517,5517,blue
S,69,68,68,blue
V,41,4072,4072,blue
B,46,234,234,blue
X,28,4808,4808,blue
S,23,4011,4011,blue
T,41,5031,5031,blue
W,40,8652,8652,blue
T,41,935,935,blue
S,23,6011,6011,blue
T,32,433,433,blue
E,20,3384,3384,blue
J,23,2346,2346,blue
T,36,7752,7752,blue
I,57,3166,3166,blue
I,57,7358,7358,blue
D,55,801,801,blue
V,55,6531,6531,blue
J,46,3237,3237,blue
Z,48,8091,8091,blue
A,63,7913,7913,blue
A,63,809,809,blue
D,39,570,570,blue
P,30,5360,5360,blue
D,35,7681,7681,blue
V,40,7041,7041,blue
Q,38,4503,4503,blue
E,48,1911,1911,blue
C,31,7816,7816,blue
E,66,1364,1364,blue
X,37,6096,6096,blue
N,32,1683,1683,blue
W,47,8684,8684,blue
F,23,2342,2342,blue
A,66,6197,6197,blue
P,37,4817,4817,blue
C,26,8315,8315,blue
G,26,8102,8102,blue
B,45,3543,3543,blue
C,22,9132,9132,blue
Q,67,8173,8173,blue
U,48,8161,8161,blue
T,49,1416,1416,blue
B,52,9666,9666,blue
T,53,1943,1943,blue
K,26,5089,5089,blue
F,48,7462,7462,blue
R,37,9087,9087,blue
R,37,6079,6079,blue
K,43,484,484,blue
E,36,3024,3024,blue
A,60,3766,3766,blue
C,65,6754,6754,blue
D,56,3077,3077,blue
Z,67,1477,1477,blue
V,56,2497,2497,blue
L,54,9456,9456,blue
A,60,3346,3346,blue
C,47,3129,3129,blue
L,65,5222,5222,blue
E,57,8029,8029,blue
U,29,2923,2923,blue
S,32,6878,6878,blue
R,62,3710,3710,blue
Y,41,7810,7810,blue
N,48,8412,8412,blue
K,48,4496,4496,blue
R,47,4752,4752,blue
A,33,1710,1710,blue
C,32,8787,8787,blue
T,31,2069,2069,blue
X,38,6748,6748,blue
P,44,7433,7433,blue
A,64,2105,2105,blue
O,50,9255,9255,blue
I,61,4666,4666,blue
Q,52,5287,5287,blue
Q,69,7463,7463,blue
D,47,3955,3955,blue
U,63,8805,8805,blue
T,56,2356,2356,blue
B,50,4407,4407,blue
U,37,7212,7212,blue
V,27,3265,3265,blue
P,38,4310,4310,blue
O,25,8231,8231,blue
U,35,463,463,blue
V,49,5719,5719,blue
O,29,6620,6620,blue
C,52,8631,8631,blue
T,50,2256,2256,blue
I,29,8238,8238,blue
I,29,1390,1390,blue
T,50,2534,2534,blue
T,54,2367,2367,blue
J,54,2460,2460,blue
J,43,1104,1104,blue
G,53,4026,4026,blue
B,65,6296,6296,blue
Q,49,8674,8674,blue
E,35,6603,6603,blue
S,44,7487,7487,blue
F,56,4062,4062,blue
Z,33,9039,9039,blue
H,62,7676,7676,blue
Z,26,9387,9387,blue
Y,26,1800,1800,blue
W,33,5821,5821,blue
T,57,1622,1622,blue
W,30,2222,2222,blue
S,37,1657,1657,blue
I,50,5810,5810,blue
N,61,8947,8947,blue
L,26,6253,6253,blue
W,27,5902,5902,blue
Z,58,7400,7400,blue
D,48,7307,7307,blue
S,41,4247,4247,blue
G,34,5681,5681,blue
F,40,5391,5391,blue
G,38,6176,6176,blue
H,64,6453,6453,blue
F,26,8936,8936,blue
U,60,9955,9955,blue
U,55,5513,5513,blue
U,55,6775,6775,blue
O,65,9424,9424,blue
Q,50,2004,2004,blue
M,34,4815,4815,blue
B,46,8657,8657,blue
B,46,7393,7393,blue
G,24,3003,3003,blue
W,40,6065,6065,blue
X,24,141,141,blue
C,62,4382,4382,blue
G,23,3500,3500,blue
M,50,746,746,blue
U,41,8230,8230,blue
E,22,8879,8879,blue
S,67,6452,6452,blue
U,23,9996,9996,blue
J,50,9270,9270,blue
J,69,3006,3006,blue
N,55,923,923,blue
W,34,9235,9235,blue
S,55,1894,1894,blue
O,58,7197,7197,blue
V,62,6058,6058,blue
O,35,9320,9320,blue
H,37,1396,1396,blue
H,33,1437,1437,blue
Y,53,8953,8953,blue
Q,34,3579,3579,blue
H,67,6289,6289,blue
C,49,8241,8241,blue
J,51,6270,6270,blue
I,25,6561,6561,blue
B,62,8640,8640,blue
P,31,429,429,blue
J,44,632,632,blue
O,51,4017,4017,blue
N,30,6553,6553,blue
J,40,3539,3539,blue
N,26,8758,8758,blue
W,51,880,880,blue
G,69,9231,9231,blue
W,47,4559,4559,blue
H,65,679,679,blue
S,29,9935,9935,blue
P,60,6303,6303,blue
T,62,373,373,blue
J,62,5090,5090,blue
L,33,7236,7236,blue
H,29,3231,3231,blue
F,60,4982,4982,blue
V,68,4121,4121,blue
K,22,7051,7051,blue
K,22,9051,9051,blue
A,26,1351,1351,blue
O,33,8785,8785,blue
O,37,4858,4858,blue
N,68,8277,8277,blue
X,58,8818,8818,blue
G,58,6226,6226,blue
Q,45,5424,5424,blue
T,30,2365,2365,blue
C,43,6939,6939,blue
B,61,6951,6951,blue
W,63,1056,1056,blue
C,32,7860,7860,blue
I,64,2881,2881,blue
N,52,9906,9906,blue
I,46,8606,8606,blue
Z,51,3145,3145,blue
U,58,8905,8905,blue
H,59,3587,3587,blue
C,38,5744,5744,blue
R,52,2235,2235,blue
J,27,3687,3687,blue
I,33,998,998,blue
I,33,2662,2662,blue
Z,65,1715,1715,blue
D,47,8104,8104,blue
G,48,8046,8046,blue
P,39,1310,1310,blue
Q,69,6634,6634,blue
G,52,6623,6623,blue
U,42,5608,5608,blue
J,22,5329,5329,blue
H,20,5263,5263,blue
O,23,5988,5988,blue
W,52,2878,2878,blue
V,31,9301,9301,blue
Z,62,398,398,blue
L,61,6098,6098,blue
X,52,2461,2461,blue
K,36,1199,1199,blue
H,26,6136,6136,blue
H,30,1729,1729,blue
J,58,6120,6120,blue
X,45,6266,6266,blue
B,31,3457,3457,blue
X,45,522,522,blue
F,64,2097,2097,blue
Z,56,6651,6651,blue
W,25,5127,5127,blue
I,45,2298,2298,blue
R,45,4919,4919,blue
P,68,9,9,blue
R,45,919,919,blue
C,29,6684,6684,blue
O,57,1448,1448,blue
B,60,4264,4264,blue
X,25,7948,7948,blue
Z,37,9258,9258,blue
U,66,1307,1307,blue
U,66,8507,8507,blue
L,39,3047,3047,blue
X,35,1527,1527,blue
C,35,3280,3280,blue
Q,24,5772,5772,blue
B,53,4204,4204,blue
L,62,5042,5042,blue
S,66,4212,4212,blue
D,67,4426,4426,blue
J,66,9591,9591,blue
T,34,4167,4167,blue
T,38,1803,1803,blue
B,24,9495,9495,blue
C,46,5068,5068,blue
F,24,6049,6049,blue
V,52,7269,7269,blue
N,40,425,425,blue
A,57,5059,5059,blue
X,34,3013,3013,blue
X,30,3252,3252,blue
A,56,6860,6860,blue
H,64,4394,4394,blue
X,44,8109,8109,blue
M,39,1303,1303,blue
R,67,6372,6372,blue
Z,42,2116,2116,blue
Z,42,1620,1620,blue
I,22,7000,7000,blue
F,42,9852,9852,blue
A,68,2054,2054,blue
R,21,9244,9244,blue
A,27,9596,9596,blue
D,65,8615,8615,blue
U,39,3299,3299,blue
N,67,3902,3902,blue
L,32,9947,9947,blue
O,31,1251,1251,blue
E,26,3857,3857,blue
U,24,4920,4920,blue
E,47,8227,8227,blue
P,51,5841,5841,blue
D,55,5555,5555,blue
G,40,2317,2317,blue
E,43,5052,5052,blue
G,44,1260,1260,blue
F,68,8815,8815,blue
E,43,8782,8782,blue
F,55,4334,4334,blue
H,33,6168,6168,blue
G,56,9152,9152,blue
O,35,3971,3971,blue
E,63,8634,8634,blue
N,46,8543,8543,blue
O,58,7630,7630,blue
Q,55,1770,1770,blue
D,40,2341,2341,blue
F,69,2521,2521,blue
I,21,8119,8119,blue
B,49,9114,9114,blue
C,37,3785,3785,blue
K,53,1044,1044,blue
A,53,52,52,blue
V,24,5348,5348,blue
Z,35,9586,9586,blue
F,44,3472,3472,blue
N,36,1841,1841,blue
M,53,8288,8288,blue
G,30,7477,7477,blue
B,33,4617,4617,blue
J,21,6797,6797,blue
W,54,3755,3755,blue
H,29,1788,1788,blue
Q,64,6825,6825,blue
S,52,3010,3010,blue
H,27,2856,2856,blue
A,43,4863,4863,blue
B,26,6954,6954,blue
I,65,7727,7727,blue
P,50,3858,3858,blue
P,50,1010,1010,blue
U,36,4735,4735,blue
D,56,9967,9967,blue
O,37,5779,5779,blue
E,23,7409,7409,blue
V,37,3941,3941,blue
P,24,3352,3352,blue
T,26,9861,9861,blue
G,39,9421,9421,blue
O,60,3259,3259,blue
I,26,5928,5928,blue
T,30,1224,1224,blue
U,25,8938,8938,blue
Z,30,5917,5917,blue
N,25,2770,2770,blue
C,42,725,725,blue
T,31,8439,8439,blue
R,48,6116,6116,blue
N,47,7181,7181,blue
V,26,7912,7912,blue
P,59,7652,7652,blue
S,27,3338,3338,blue
E,51,2700,2700,blue
N,27,8560,8560,blue
Y,66,1920,1920,blue
B,59,6332,6332,blue
S,64,9812,9812,blue
N,69,4027,4027,blue
O,64,1520,1520,blue
Z,66,1670,1670,blue
R,34,6189,6189,blue
I,32,6852,6852,blue
V,27,6055,6055,blue
L,49,1548,1548,blue
D,49,5211,5211,blue
O,39,2223,2223,blue
W,36,962,962,blue
C,52,3723,3723,blue
D,38,7255,7255,blue
V,38,4359,4359,blue
J,67,5466,5466,blue
F,27,9635,9635,blue
Q,58,595,595,blue
J,47,7895,7895,blue
C,41,9745,9745,blue
S,34,3831,3831,blue
M,64,8499,8499,blue
W,67,5515,5515,blue
Z,56,1242,1242,blue
K,57,9146,9146,blue
P,68,4582,4582,blue
R,45,8680,8680,blue
V,59,8671,8671,blue
J,32,8520,8520,blue
F,43,7680,7680,blue
P,25,1474,1474,blue
Z,31,198,198,blue
A,55,9137,9137,blue
R,57,155,155,blue
Z,37,3033,3033,blue
F,21,1088,1088,blue
C,35,1539,1539,blue
Y,64,6600,6600,blue
I,47,1415,1415,blue
U,40,3913,3913,blue
G,65,9399,9399,blue
Z,22,2486,2486,blue
J,66,7950,7950,blue
H,31,8202,8202,blue
F,33,4237,4237,blue
I,34,9439,9439,blue
A,67,1775,1775,blue
Y,30,8952,8952,blue
K,41,437,437,blue
N,66,7964,7964,blue
M,61,2880,2880,blue
L,48,3057,3057,blue
H,51,7508,7508,blue
M,57,937,937,blue
L,26,5811,5811,blue
V,52,4998,4998,blue
B,21,1241,1241,blue
C,34,6739,6739,blue
N,35,2259,2259,blue
C,55,6844,6844,blue
A,54,7516,7516,blue
O,36,9848,9848,blue
Z,32,2403,2403,blue
D,23,960,960,blue
U,60,7689,7689,blue
V,45,4284,4284,blue
M,25,6441,6441,blue
Q,54,9647,9647,blue
S,23,3904,3904,blue
V,65,9658,9658,blue
T,45,1196,1196,blue
O,30,2527,2527,blue
C,66,5271,5271,blue
X,21,331,331,blue
P,49,6500,6500,blue
T,32,7636,7636,blue
O,30,767,767,blue
S,53,8862,8862,blue
Y,65,941,941,blue
I,53,986,986,blue
E,22,2539,2539,blue
K,21,5518,5518,blue
P,65,8641,8641,blue
W,21,2487,2487,blue
Q,59,6488,6488,blue
P,65,9537,9537,blue
O,47,4999,4999,blue
H,37,7162,7162,blue
E,59,2070,2070,blue
Y,56,371,371,blue
K,37,1876,1876,blue
K,37,2328,2328,blue
U,59,8957,8957,blue
S,58,2837,2837,blue
I,25,3987,3987,blue
W,56,9740,9740,blue
H,56,7625,7625,blue
T,20,4372,4372,blue
X,22,1388,1388,blue
O,66,1185,1185,blue
Z,23,5120,5120,blue
K,65,6893,6893,blue
H,29,9147,9147,blue
H,29,2053,2053,blue
F,60,492,492,blue
N,58,9682,9682,blue
R,33,6713,6713,blue
X,63,6998,6998,blue
Q,43,3668,3668,blue
K,43,6251,6251,blue
U,36,7246,7246,blue
M,21,7616,7616,blue
V,37,1950,1950,blue
V,33,7356,7356,blue
E,57,2516,2516,blue
T,64,6125,6125,blue
F,67,7974,7974,blue
B,20,1221,1221,blue
U,67,6613,6613,blue
R,52,7007,7007,blue
U,62,5087,5087,blue
M,42,7899,7899,blue
V,47,146,146,blue
I,20,1195,1195,blue
T,56,847,847,blue
B,63,4729,4729,blue
J,22,2329,2329,blue
P,55,9649,9649,blue
E,69,5789,5789,blue
Z,21,7102,7102,blue
N,57,4675,4675,blue
A,44,8968,8968,blue
Z,62,2944,2944,blue
V,27,3314,3314,blue
U,30,162,162,blue
G,57,1014,1014,blue
Y,61,701,701,blue
K,32,5658,5658,blue
Y,32,841,841,blue
X,41,4479,4479,blue
E,50,8065,8065,blue
S,22,9736,9736,blue
T,44,419,419,blue
E,56,5363,5363,blue
N,34,7617,7617,blue
Y,42,7422,7422,blue
Z,33,4966,4966,blue
L,39,3143,3143,blue
S,40,6356,6356,blue
M,36,3555,3555,blue
B,44,6479,6479,blue
B,40,8374,8374,blue
P,32,5899,5899,blue
F,33,1272,1272,blue
X,23,7520,7520,blue
V,66,294,294,blue
V,66,1070,1070,blue
A,20,3702,3702,blue
H,36,8842,8842,blue
R,26,5028,5028,blue
B,24,5469,5469,blue
M,67,2885,2885,blue
U,34,281,281,blue
U,21,797,797,blue
J,48,5361,5361,blue
R,38,5145,5145,blue
D,52,2253,2253,blue
P,67,5843,5843,blue
B,21,7082,7082,blue
L,30,4016,4016,blue
L,30,6174,6174,blue
Z,54,1341,1341,blue
X,34,3649,3649,blue
Z,36,8369,8369,blue
S,60,5717,5717,blue
R,60,1268,1268,blue
C,51,6250,6250,blue
R,54,5408,5408,blue
K,35,6469,6469,blue
H,49,5739,5739,blue
D,23,9417,9417,blue
H,49,7501,7501,blue
P,58,6293,6293,blue
O,30,1178,1178,blue
I,56,6477,6477,blue
N,67,3236,3236,blue
Y,51,737,737,blue
C,62,5869,5869,blue
U,24,9086,9086,blue
Y,65,3156,3156,blue
J,61,9164,9164,blue
I,53,4405,4405,blue
E,43,1966,1966,blue
E,43,3120,3120,blue
A,38,8392,8392,blue
A,21,2495,2495,blue
I,67,8773,8773,blue
N,42,9470,9470,blue
K,44,3032,3032,blue
A,63,9469,9469,blue
C,60,405,405,blue
R,53,5912,5912,blue
X,56,2959,2959,blue
Q,34,9654,9654,blue
B,67,733,733,blue
O,63,8591,8591,blue
Q,57,4413,4413,blue
J,44,5553,5553,blue
F,41,7401,7401,blue
J,40,6164,6164,blue
B,45,3855,3855,blue
H,60,32,32,blue
R,63,8888,8888,blue
J,28,8502,8502,blue
I,58,4430,4430,blue
R,30,1062,1062,blue
U,27,5315,5315,blue
J,64,8622,8622,blue
F,54,7654,7654,blue
H,29,246,246,blue
F,48,7434,7434,blue
M,65,3900,3900,blue
D,64,2655,2655,blue
X,59,9434,9434,blue
A,26,2396,2396,blue
U,32,972,972,blue
E,36,112,112,blue
E,36,980,980,blue
I,65,6789,6789,blue
X,65,1021,1021,blue
O,37,7139,7139,blue
O,37,9789,9789,blue
K,42,2161,2161,blue
G,39,3401,3401,blue
Q,41,2042,2042,blue
L,54,8956,8956,blue
I,30,9728,9728,blue
K,42,4753,4753,blue
F,29,2917,2917,blue
J,53,8859,8859,blue
Z,55,1739,1739,blue
X,32,9900,9900,blue
T,21,1019,1019,blue
P,40,5193,5193,blue
N,43,5279,5279,blue
H,66,9686,9686,blue
A,58,7372,7372,blue
L,44,9553,9553,blue
M,42,8620,8620,blue
Q,52,1347,1347,blue
V,43,2366,2366,blue
G,52,6134,6134,blue
T,60,417,417,blue
N,69,1009,1009,blue
A,65,7164,7164,blue
G,42,2358,2358,blue
E,28,9959,9959,blue
M,48,9820,9820,blue
J,59,5427,5427,blue
F,49,6279,6279,blue
F,53,9438,9438,blue
Q,47,2283,2283,blue
T,28,345,345,blue
K,57,4198,4198,blue
L,28,8413,8413,blue
I,66,6028,6028,blue
V,59,7621,7621,blue
E,35,7567,7567,blue
G,36,3577,3577,blue
O,57,1155,1155,blue
O,57,3075,3075,blue
N,24,5489,5489,blue
F,47,6373,6373,blue
N,24,5005,5005,blue
P,25,3748,3748,blue
F,36,6277,6277,blue
F,36,1165,1165,blue
S,25,4500,4500,blue
C,35,5117,5117,blue
Y,64,882,882,blue
W,55,1338,1338,blue
G,65,1081,1081,blue
G,65,2569,2569,blue
G,41,9101,9101,blue
V,54,4493,4493,blue
W,33,7169,7169,blue
V,66,5163,5163,blue
Z,63,8978,8978,blue
$
